matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,9,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.7171547412872314,3.4809112548828125e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,10,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.3707785606384277,2.956390380859375e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,11,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,2.3451755046844482,3.7670135498046875e-05,13
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,12,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,3.691678285598755,3.9577484130859375e-05,15
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,13,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.4062368869781494,1.6689300537109375e-05,7
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,14,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.3335533142089844,1.7404556274414062e-05,7
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,15,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.7158315181732178,2.9325485229492188e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,16,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.9848196506500244,2.8371810913085938e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,17,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.3141329288482666,2.1457672119140625e-05,9
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,18,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.391925573348999,1.621246337890625e-05,7
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,19,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.7481703758239746,2.6702880859375e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,20,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.299638271331787,3.814697265625e-05,15
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,1,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,3.743171691894531e-05,1.8408453464508057,12
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,2,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,7.724761962890625e-05,4.640334844589233,20
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,3,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,0.00010418891906738281,3.2155208587646484,28
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,4,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.8848648071289062e-05,1.6998536586761475,10
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,5,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.6702880859375e-05,0.4120955467224121,8
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,6,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,5.936622619628906e-05,4.3376305103302,20
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,7,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.6226043701171875e-05,0.32987213134765625,8
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,8,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.6464462280273438e-05,1.4852440357208252,10
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,9,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.288818359375e-05,0.31403088569641113,8
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,10,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.8848648071289062e-05,0.8437471389770508,10
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,11,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,3.719329833984375e-05,2.1823534965515137,14
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,12,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.8371810913085938e-05,0.6291580200195312,10
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,13,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.7418136596679688e-05,0.5445442199707031,10
RandomPolicy vs Group A Santiago - MinimaxAlphaBeta,14,RandomPolicy,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,2.765655517578125e-05,0.8140842914581299,10
